,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
40,2,2023-01-01 00:48:21,2023-01-01 01:23:50,N,1.0,258,80,1.0,10.35,47.1,1.0,0.5,0.0,0.0,,1.0,49.6,2.0,1.0,0.0
41,2,2023-01-01 00:08:05,2023-01-01 00:13:26,N,1.0,41,75,6.0,1.05,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1.0,1.0,0.0
42,2,2023-01-01 00:13:47,2023-01-01 00:25:57,N,1.0,129,223,5.0,3.23,17.0,1.0,0.5,2.22,0.0,,1.0,21.72,1.0,1.0,0.0
43,2,2023-01-01 00:16:10,2023-01-01 00:54:55,N,5.0,66,48,3.0,6.19,75.0,0.0,0.0,0.0,0.0,,0.3,78.05,2.0,2.0,2.75
44,2,2023-01-01 00:04:25,2023-01-01 00:17:50,N,1.0,255,146,1.0,2.8,16.3,1.0,0.5,2.8,0.0,,1.0,21.6,1.0,1.0,0.0
45,2,2023-01-01 00:33:38,2023-01-01 00:38:51,N,1.0,75,263,1.0,1.13,7.9,1.0,0.5,2.63,0.0,,1.0,15.78,1.0,1.0,2.75
46,2,2023-01-01 00:46:08,2023-01-01 00:59:10,N,1.0,75,143,1.0,3.19,15.6,1.0,0.5,6.26,0.0,,1.0,27.11,1.0,1.0,2.75
47,2,2023-01-01 01:00:08,2023-01-01 01:05:46,N,1.0,95,95,1.0,1.26,8.6,1.0,0.5,2.22,0.0,,1.0,13.32,1.0,1.0,0.0
48,2,2023-01-01 00:28:04,2023-01-01 00:43:45,N,1.0,255,80,1.0,2.87,15.6,1.0,0.5,0.0,0.0,,1.0,18.1,2.0,1.0,0.0
49,2,2023-01-01 00:23:04,2023-01-01 23:18:32,N,1.0,255,48,1.0,8.55,47.8,1.0,0.5,5.3,0.0,,1.0,58.35,1.0,1.0,2.75
50,2,2023-01-01 00:34:07,2023-01-01 00:50:01,N,1.0,130,196,1.0,4.46,21.2,1.0,0.5,7.11,0.0,,1.0,30.81,1.0,1.0,0.0
51,2,2023-01-01 00:52:03,2023-01-01 00:57:56,N,1.0,7,260,1.0,1.18,7.9,1.0,0.5,2.6,0.0,,1.0,13.0,1.0,1.0,0.0
52,2,2023-01-01 00:25:31,2023-01-01 00:38:40,N,1.0,116,238,5.0,2.5,15.6,1.0,0.5,0.0,0.0,,1.0,18.1,2.0,1.0,0.0
53,2,2023-01-01 00:53:09,2023-01-01 01:13:35,N,1.0,166,250,5.0,9.01,37.3,1.0,0.5,0.0,0.0,,1.0,39.8,2.0,1.0,0.0
54,2,2023-01-01 00:42:37,2023-01-01 00:47:15,N,1.0,7,223,1.0,0.63,6.5,1.0,0.5,2.25,0.0,,1.0,11.25,1.0,1.0,0.0
